Test ID,Area,Priority,Title,Reference,Platform/Device,Build SHA,Result,Evidence,Defect,Tester,Execution Date,Notes
UAT-NAV-01,Launch and navigation,P0,Launch to the default Log route,UAT_TEST_PLAN.md#uat-nav-01,Android / Pixel_9a API 37 / Expo Go 56.0.1,e3d987a,Pass,evidence/android-pixel9a-20260716/log-expense-saved-stable.png,,Codex,2026-07-16,Method: force-stop and Expo URL launch; actual: Log route opened and accepted an entry.
UAT-NAV-02,Launch and navigation,P0,Complete bottom-tab navigation,UAT_TEST_PLAN.md#uat-nav-02,Android / Pixel_9a API 37 / Expo Go 56.0.1,e3d987a,Pass,evidence/android-pixel9a-20260716/journey1-home.png,,Codex,2026-07-16,Method: emulator taps across all five tabs; actual: Home; Calendar; Log; Dashboard; Portfolio rendered.
UAT-NAV-03,Launch and navigation,P1,Open and close Settings through Portfolio,UAT_TEST_PLAN.md#uat-nav-03,Android / Pixel_9a API 37 / Expo Go 56.0.1,e3d987a,Pass,evidence/android-pixel9a-20260716/sys-english-restored.png,,Codex,2026-07-16,Method: Portfolio gear and Done/back; actual: Settings opened and closed without losing state.
UAT-NAV-04,Launch and navigation,P2,Recover from an unknown route,UAT_TEST_PLAN.md#uat-nav-04,Android / Pixel_9a API 37 / Expo Go 56.0.1,e3d987a,Pass,evidence/android-pixel9a-20260716/unknown-route2.png,,Codex,2026-07-16,Method: exp://.../--/unknown-route; actual: Route not found screen offered Return to Log.
UAT-LOG-01,Log transactions,P0,Record a same-day expense,UAT_TEST_PLAN.md#uat-log-01,Android / Pixel_9a API 37 / Expo Go 56.0.1,e3d987a,Pass,evidence/android-pixel9a-20260716/log-expense-saved-stable.png,,Codex,2026-07-16,Method: emulator form entry; actual: Food expense saved and draft reset.
UAT-LOG-02,Log transactions,P0,Record a same-day income,UAT_TEST_PLAN.md#uat-log-02,Android / Pixel_9a API 37 / Expo Go 56.0.1,e3d987a,Pass,evidence/android-pixel9a-20260716/journey1-calendar.png,,Codex,2026-07-16,Method: emulator transaction flow plus Calendar assertion; actual: income persisted in monthly totals.
UAT-LOG-03,Log transactions,P1,Record a transaction on another date,UAT_TEST_PLAN.md#uat-log-03,Android / Pixel_9a API 37 / Expo Go 56.0.1,e3d987a,Pass,evidence/android-pixel9a-20260716/journey2-moved.png,,Codex,2026-07-16,Method: emulator edit/date picker; actual: record moved to June 30.
UAT-LOG-04,Log transactions,P1,Amount input normalization,UAT_TEST_PLAN.md#uat-log-04,Android / Pixel_9a API 37 / Expo Go 56.0.1,e3d987a,Pass,evidence/android-pixel9a-20260716/log-expense-saved-stable.png,,Codex,2026-07-16,Method: emulator amount input and save; actual: numeric amount displayed and stored normalized.
UAT-LOG-05,Log transactions,P0,Reject zero or empty amount,UAT_TEST_PLAN.md#uat-log-05,Android / Pixel_9a API 37 / Expo Go 56.0.1,e3d987a,Pass,src/hooks/__tests__/useLogViewModel.test.ts,,Codex,2026-07-16,Method: automated view-model validation; actual: invalid amount cannot create a transaction.
UAT-LOG-06,Log transactions,P1,Expense/income category switching,UAT_TEST_PLAN.md#uat-log-06,Android / Pixel_9a API 37 / Expo Go 56.0.1,e3d987a,Pass,evidence/android-pixel9a-20260716/category-saved2.png,,Codex,2026-07-16,Method: emulator category editor and type controls; actual: category selection updated the draft.
